Participant,Timepoint,Consistency
1,TIME2,1
1,TIME3,1
1,TIME4,1
1,TIME5,1
2,TIME2,2
2,TIME3,
2,TIME4,3
2,TIME5,3
3,TIME2,4
3,TIME3,3
3,TIME4,2
3,TIME5,3
4,TIME2,5
4,TIME3,1
4,TIME4,5
4,TIME5,5
5,TIME2,2
5,TIME3,
5,TIME4,2
5,TIME5,
6,TIME2,5
6,TIME3,5
6,TIME4,5
6,TIME5,
7,TIME2,4
7,TIME3,
7,TIME4,5
7,TIME5,
8,TIME2,3
8,TIME3,2
8,TIME4,3
8,TIME5,
9,TIME2,4
9,TIME3,4
9,TIME4,3
9,TIME5,4
10,TIME2,4
10,TIME3,
10,TIME4,
10,TIME5,
11,TIME2,1
11,TIME3,
11,TIME4,4
11,TIME5,4
12,TIME2,
12,TIME3,
12,TIME4,
12,TIME5,
13,TIME2,4
13,TIME3,4
13,TIME4,4
13,TIME5,
14,TIME2,4
14,TIME3,
14,TIME4,3
14,TIME5,
15,TIME2,2
15,TIME3,
15,TIME4,2
15,TIME5,
16,TIME2,5
16,TIME3,2
16,TIME4,3
16,TIME5,1
17,TIME2,3
17,TIME3,3
17,TIME4,2
17,TIME5,2
18,TIME2,3
18,TIME3,4
18,TIME4,3
18,TIME5,3
19,TIME2,3
19,TIME3,3
19,TIME4,4
19,TIME5,4
20,TIME2,3
20,TIME3,2
20,TIME4,4
20,TIME5,5
21,TIME2,
21,TIME3,
21,TIME4,
21,TIME5,
22,TIME2,5
22,TIME3,
22,TIME4,
22,TIME5,3
23,TIME2,4
23,TIME3,4
23,TIME4,
23,TIME5,4
24,TIME2,3
24,TIME3,
24,TIME4,
24,TIME5,
25,TIME2,
25,TIME3,2
25,TIME4,1
25,TIME5,3
26,TIME2,
26,TIME3,
26,TIME4,
26,TIME5,
27,TIME2,5
27,TIME3,5
27,TIME4,5
27,TIME5,5
28,TIME2,1
28,TIME3,
28,TIME4,4
28,TIME5,1
29,TIME2,3
29,TIME3,3
29,TIME4,
29,TIME5,3
30,TIME2,3
30,TIME3,
30,TIME4,
30,TIME5,
31,TIME2,2
31,TIME3,2
31,TIME4,2
31,TIME5,1
32,TIME2,2
32,TIME3,1
32,TIME4,1
32,TIME5,1
33,TIME2,4
33,TIME3,
33,TIME4,3
33,TIME5,
34,TIME2,4
34,TIME3,3
34,TIME4,
34,TIME5,
35,TIME2,
35,TIME3,
35,TIME4,4
35,TIME5,5
36,TIME2,
36,TIME3,
36,TIME4,
36,TIME5,
