Participant,Attribute,Dedication,,,,
1,TIME1,2,,,,
1,TIME2,3,,,,
1,TIME3,2,,,,
1,TIME4,2,,,,
2,TIME1,3,,,,
2,TIME2,3,,,,
2,TIME3,,,,,
2,TIME4,2,,,,
3,TIME1,4,,,,
3,TIME2,4,,,,
3,TIME3,3,,,,
3,TIME4,3,,,,
4,TIME1,5,,,,
4,TIME2,5,,,,
4,TIME3,5,,,,
4,TIME4,5,,,,
5,TIME1,5,,,,
5,TIME2,5,,,,
5,TIME3,,,,,
5,TIME4,2,,,,
6,TIME1,4,,,,
6,TIME2,5,,,,
6,TIME3,4,,,,
6,TIME4,3,,,,
7,TIME1,5,,,,
7,TIME2,5,,,,
7,TIME3,,,,,
7,TIME4,5,,,,
8,TIME1,4,,,,
8,TIME2,4,,,,
8,TIME3,3,,,,
8,TIME4,3,,,,
9,TIME1,5,,,,
9,TIME2,4,,,,
9,TIME3,4,,,,
9,TIME4,3,,,,
10,TIME1,3,,,,
10,TIME2,4,,,,
10,TIME3,,,,,
10,TIME4,,,,,
11,TIME1,3,,,,
11,TIME2,3,,,,
11,TIME3,,,,,
11,TIME4,4,,,,
12,TIME1,3,,,,
12,TIME2,,,,,
12,TIME3,,,,,
12,TIME4,,,,,
13,TIME1,4,,,,
13,TIME2,4,,,,
13,TIME3,4,,,,
13,TIME4,3,,,,
14,TIME1,5,,,,
14,TIME2,5,,,,
14,TIME3,,,,,
14,TIME4,5,,,,
15,TIME1,3,,,,
15,TIME2,2,,,,
15,TIME3,,,,,
15,TIME4,1,,,,
16,TIME1,5,,,,
16,TIME2,5,,,,
16,TIME3,3,,,,
16,TIME4,2,,,,
17,TIME1,4,,,,
17,TIME2,4,,,,
17,TIME3,4,,,,
17,TIME4,3,,,,
18,TIME1,4,,,,
18,TIME2,4,,,,
18,TIME3,5,,,,
18,TIME4,4,,,,
19,TIME1,4,,,,
19,TIME2,3,,,,
19,TIME3,3,,,,
19,TIME4,3,,,,
20,TIME1,5,,,,
20,TIME2,3,,,,
20,TIME3,3,,,,
20,TIME4,4,,,,
21,TIME1,3,,,,
21,TIME2,,,,,
21,TIME3,,,,,
21,TIME4,,,,,
22,TIME1,5,,,,
22,TIME2,4,,,,
22,TIME3,,,,,
22,TIME4,,,,,
23,TIME1,5,,,,
23,TIME2,5,,,,
23,TIME3,4,,,,
23,TIME4,,,,,
24,TIME1,3,,,,
24,TIME2,4,,,,
24,TIME3,,,,,
24,TIME4,,,,,
25,TIME1,4,,,,
25,TIME2,,,,,
25,TIME3,2,,,,
25,TIME4,2,,,,
26,TIME1,5,,,,
26,TIME2,,,,,
26,TIME3,,,,,
26,TIME4,,,,,
27,TIME1,5,,,,
27,TIME2,5,,,,
27,TIME3,5,,,,
27,TIME4,5,,,,
28,TIME1,2,,,,
28,TIME2,1,,,,
28,TIME3,,,,,
28,TIME4,3,,,,
29,TIME1,4,,,,
29,TIME2,4,,,,
29,TIME3,4,,,,
29,TIME4,,,,,
30,TIME1,5,,,,
30,TIME2,4,,,,
30,TIME3,,,,,
30,TIME4,,,,,
31,TIME1,3,,,,
31,TIME2,2,,,,
31,TIME3,3,,,,
31,TIME4,3,,,,
32,TIME1,1,,,,
32,TIME2,5,,,,
32,TIME3,4,,,,
32,TIME4,4,,,,
33,TIME1,4,,,,
33,TIME2,4,,,,
33,TIME3,,,,,
33,TIME4,4,,,,
34,TIME1,5,,,,
34,TIME2,4,,,,
34,TIME3,2,,,,
34,TIME4,,,,,
35,TIME1,4,,,,
35,TIME2,,,,,
35,TIME3,,,,,
35,TIME4,5,,,,
36,TIME1,5,,,,
36,TIME2,,,,,
36,TIME3,,,,,
36,TIME4,,,,,
