TIME2,TIME3,TIME4,TIME5
Mostly given up on them,Mostly stuck to them,Mostly stuck to them,Mostly stuck to them
Mostly given up on them,Stuck to them entirely,Mostly given up on them,Mostly stuck to them
Mostly given up on them,Not sure,Mostly stuck to them,Mostly stuck to them
Stuck to them entirely,Mostly stuck to them,Mostly stuck to them,Mostly stuck to them
Mostly given up on them,Mostly stuck to them,Mostly given up on them,Mostly stuck to them
Not sure,Not sure,Not sure,Given up on them entirely
Mostly stuck to them,Not sure,Mostly stuck to them,Mostly stuck to them
Not sure,Mostly stuck to them,Mostly stuck to them,Not sure
Mostly stuck to them,Stuck to them entirely,Not sure,Stuck to them entirely
Mostly stuck to them,Mostly given up on them,Mostly stuck to them,Mostly stuck to them
Mostly stuck to them,Mostly stuck to them,Mostly stuck to them,Mostly given up on them
Mostly stuck to them,Mostly given up on them,Mostly stuck to them,Given up on them entirely
Mostly stuck to them,Mostly stuck to them,Mostly stuck to them,Stuck to them entirely
Mostly given up on them,Mostly stuck to them,Mostly stuck to them,Mostly stuck to them
Mostly stuck to them,Not sure,Mostly given up on them,Mostly given up on them
Mostly stuck to them,Mostly given up on them,Mostly stuck to them,Not sure
Mostly stuck to them,Mostly stuck to them,Mostly given up on them,Mostly stuck to them
Mostly stuck to them,Mostly stuck to them,Mostly stuck to them,Mostly stuck to them
Mostly stuck to them,Mostly stuck to them,Mostly given up on them,Mostly stuck to them
Mostly stuck to them,Mostly stuck to them,Mostly given up on them,Mostly given up on them
Mostly stuck to them,Mostly stuck to them,Mostly stuck to them,Mostly stuck to them
Mostly stuck to them,,Mostly given up on them,
Stuck to them entirely,,Stuck to them entirely,
Stuck to them entirely,,Mostly stuck to them,
Not sure,,Mostly stuck to them,
Mostly stuck to them,,Mostly stuck to them,
Mostly stuck to them,,,
Stuck to them entirely,,,
Mostly stuck to them,,,
Stuck to them entirely,,,
Mostly stuck to them,,,
Mostly stuck to them,,,
